Table S43. Sample information and classifications,,,,,,,,,,
Sample ID,Tip Name,AOS + Howard&Moore Name,AOS + Clements Name,IUCN Name,Howard&Moore Family,Tissue Source,Tissue Number,Voucher Source,Voucher Number,Locality
82,Taraba_major_LSU52941,Taraba major,Taraba major,Taraba major,Thamnophilidae,LSUMZ-B,52941,LSUMZ,177724,"PANAMA: Darién, Dist. Puerto Pina; several km N Puerto Pina along Río Pina"
83,Taraba_major_LSU66728,Taraba major,Taraba major,Taraba major,Thamnophilidae,LSUMZ-B,66728,CORBIDI,CJS270,"PERU: Tumbes, Estacion Figueroa 03º52’30”S 80º10'13""W"
85,Taraba_major_ICN39140,Taraba major,Taraba major,Taraba major,Thamnophilidae,ICN,39140,ICN,39140,"COLOMBIA: Casanare: Támara, Vereda San Pedro"
86,Taraba_major_MZU94636,Taraba major,Taraba major,Taraba major,Thamnophilidae,MZUSP,94636,MZUSP,94636,"BRAZIL: Goiás, Campinaçú"
88,Taraba_major_LSU10797,Taraba major,Taraba major,Taraba major,Thamnophilidae,LSUMZ-B,10797,LSUMZ,156455,"PERU: Ucayali , W. Bank Río Shesha, ca. 65 km ENE Pucallpa"
89,Taraba_major_MZUJ1128,Taraba major,Taraba major,Taraba major,Thamnophilidae,MZUSP,108670,MZUSP,108670,"BRAZIL: Rondônia, margem direita Rio Madeira, Caiçara, T2 9º26'15""S 64º49'8""W"
90,Taraba_major_MPEGCOUFT361,Taraba major,Taraba major,Taraba major,Thamnophilidae,MPEG,COUFT361,MPEG,81486,"BRAZIL: Tocantins, Porto Franco hydroelectric dam "
91,Sakerus_canad_KU6243,Sakesphorus canadensis,Sakesphorus canadensis,Sakesphorus canadensis,Thamnophilidae,KU,6243,KU,88165,"GUYANA: East Demerara, Hope"
92,Sakerus_canad_K5831,Sakesphorus canadensis,Sakesphorus canadensis,Sakesphorus canadensis,Thamnophilidae,KU,5831,KU,94856,"GUYANA: Barima-Waini, E Barima River, along Washikura River"
93,Sakerus_canad_UMMZ227703,Sakesphorus canadensis,Sakesphorus canadensis,Sakesphorus canadensis,Thamnophilidae,UMMZ,227703,UMMZ,227703,"VENEZUELA: Falcón: Golfete de Cuare, ca. 0.5 km W Divana"
95,Sakerus_canad_ICN39311,Sakesphorus canadensis,Sakesphorus canadensis,Sakesphorus canadensis,Thamnophilidae,ICN,39311,ICN,39311,"COLOMBIA: Casanare, Pore, Vereda La Plata"
96,Sakerus_canad_MZU77973,Sakesphorus canadensis,Sakesphorus canadensis,Sakesphorus canadensis,Thamnophilidae,MZUSP,77973,MZUSP,77973,"BRAZIL: Roraima, Fazenda Santa Teresa"
97,Sakerus_canad_MZU93732,Sakesphorus canadensis,Sakesphorus canadensis,Sakesphorus canadensis,Thamnophilidae,MZUSP,93732,MZUSP,93732,"BRAZIL: Amazonas, Caracaraí, rio Jufari, Igarapé Caicubi, sítio São Bento"
100,Sakerus_luctu_MZU92813,Sakesphorus luctuosus,Sakesphorus luctuosus,Sakesphorus luctuosus,Thamnophilidae,MZUSP,92813,MZUSP,92813,"BRAZIL: Amazonas, Ilha das Pacas, Rio Juruena, cerca de 4,2 km a sudoeste da Barra de São Manoel"
101,Sakerus_luctu_MZU90015,Sakesphorus luctuosus,Sakesphorus luctuosus,Sakesphorus luctuosus,Thamnophilidae,MZUSP,90015,MZUSP,90015,"BRAZIL: Pará, Santana do Araguaia, Fazenda Fartura"
