Sequence,TipLabel,Family2,Order2,Avibase.ID2,FamilyTotal.ClementFam,FamilyTotal.Freq,FamilyIncluded.Var1,FamilyIncluded.Freq,Completeness,synonym,notes
129,Marmaronetta_angustirostris,Anatidae,Anseriformes,AVIBASE-6362936E,Anatidae,174,Anatidae,139,0.80,,
130,Asarcornis_scutulata,Anatidae,Anseriformes,AVIBASE-FDB6503B,Anatidae,174,Anatidae,139,0.80,,
131,Rhodonessa_caryophyllacea,Anatidae,Anseriformes,AVIBASE-8D0294E1,Anatidae,174,Anatidae,139,0.80,,birdlife-avonet synonymy
132,Netta_rufina,Anatidae,Anseriformes,AVIBASE-3EC2CDA9,Anatidae,174,Anatidae,139,0.80,,
133,Netta_peposaca,Anatidae,Anseriformes,AVIBASE-03A3B616,Anatidae,174,Anatidae,139,0.80,,
134,Aythya_nyroca,Anatidae,Anseriformes,AVIBASE-7CF91527,Anatidae,174,Anatidae,139,0.80,,
135,Aythya_australis,Anatidae,Anseriformes,AVIBASE-ABEF107C,Anatidae,174,Anatidae,139,0.80,,
136,Aythya_americana,Anatidae,Anseriformes,AVIBASE-3072CC16,Anatidae,174,Anatidae,139,0.80,,
137,Aythya_collaris,Anatidae,Anseriformes,AVIBASE-0783A7EA,Anatidae,174,Anatidae,139,0.80,,
138,Aythya_ferina,Anatidae,Anseriformes,AVIBASE-A96692E0,Anatidae,174,Anatidae,139,0.80,,
139,Aythya_valisineria,Anatidae,Anseriformes,AVIBASE-1929E1E1,Anatidae,174,Anatidae,139,0.80,,
140,Aythya_novaeseelandiae,Anatidae,Anseriformes,AVIBASE-3C157679,Anatidae,174,Anatidae,139,0.80,,
141,Aythya_fuligula,Anatidae,Anseriformes,AVIBASE-67CEA1C1,Anatidae,174,Anatidae,139,0.80,,
142,Netta_erythrophthalma,Anatidae,Anseriformes,AVIBASE-36C0242E,Anatidae,174,Anatidae,139,0.80,,
143,Aythya_marila,Anatidae,Anseriformes,AVIBASE-25C94A8F,Anatidae,174,Anatidae,139,0.80,,
144,Aythya_affinis,Anatidae,Anseriformes,AVIBASE-50566E50,Anatidae,174,Anatidae,139,0.80,,
145,Lophonetta_specularioides,Anatidae,Anseriformes,AVIBASE-079F846A,Anatidae,174,Anatidae,139,0.80,,
146,Amazonetta_brasiliensis,Anatidae,Anseriformes,AVIBASE-DDFC6B2B,Anatidae,174,Anatidae,139,0.80,,
147,Speculanas_specularis,Anatidae,Anseriformes,AVIBASE-DB94B36F,Anatidae,174,Anatidae,139,0.80,,
148,Tachyeres_patachonicus,Anatidae,Anseriformes,AVIBASE-B3F9BB06,Anatidae,174,Anatidae,139,0.80,,
149,Tachyeres_leucocephalus,Anatidae,Anseriformes,AVIBASE-63180090,Anatidae,174,Anatidae,139,0.80,,
150,Tachyeres_brachypterus,Anatidae,Anseriformes,AVIBASE-13CF7E44,Anatidae,174,Anatidae,139,0.80,,
151,Tachyeres_pteneres,Anatidae,Anseriformes,AVIBASE-1891E2C4,Anatidae,174,Anatidae,139,0.80,,
152,Sibirionetta_formosa,Anatidae,Anseriformes,AVIBASE-63EABB42,Anatidae,174,Anatidae,139,0.80,,
153,Anas_puna,Anatidae,Anseriformes,AVIBASE-86B0BAFA,Anatidae,174,Anatidae,139,0.80,Spatula puna,
154,Spatula_querquedula,Anatidae,Anseriformes,AVIBASE-F577BA0F,Anatidae,174,Anatidae,139,0.80,,
155,Anas_hottentota,Anatidae,Anseriformes,AVIBASE-FA831F65,Anatidae,174,Anatidae,139,0.80,Spatula hottentota,
156,Anas_platalea,Anatidae,Anseriformes,AVIBASE-CEFACC86,Anatidae,174,Anatidae,139,0.80,Spatula platalea,
157,Spatula_discors,Anatidae,Anseriformes,AVIBASE-90E2543E,Anatidae,174,Anatidae,139,0.80,,
158,Spatula_clypeata,Anatidae,Anseriformes,AVIBASE-ED4CE8E7,Anatidae,174,Anatidae,139,0.80,,
159,Anas_smithii,Anatidae,Anseriformes,AVIBASE-4670CF43,Anatidae,174,Anatidae,139,0.80,Spatula smithii,
160,Mareca_strepera,Anatidae,Anseriformes,AVIBASE-C235A4D7,Anatidae,174,Anatidae,139,0.80,,
161,Mareca_falcata,Anatidae,Anseriformes,AVIBASE-978D4485,Anatidae,174,Anatidae,139,0.80,,
162,Mareca_penelope,Anatidae,Anseriformes,AVIBASE-15EE0D36,Anatidae,174,Anatidae,139,0.80,,
163,Mareca_americana,Anatidae,Anseriformes,AVIBASE-D201EB72,Anatidae,174,Anatidae,139,0.80,,
164,Mareca_sibilatrix,Anatidae,Anseriformes,AVIBASE-0B8AF41F,Anatidae,174,Anatidae,139,0.80,,
165,Anas_carolinensis,Anatidae,Anseriformes,AVIBASE-DE24B98D,Anatidae,174,Anatidae,139,0.80,,birdlife-avonet synonymy
166,Anas_acuta,Anatidae,Anseriformes,AVIBASE-56CCA717,Anatidae,174,Anatidae,139,0.80,,
167,Anas_erythrorhyncha,Anatidae,Anseriformes,AVIBASE-8F6876AC,Anatidae,174,Anatidae,139,0.80,,
168,Anas_nesiotis,Anatidae,Anseriformes,AVIBASE-E804C52B,Anatidae,174,Anatidae,139,0.80,,
169,Anas_bernieri,Anatidae,Anseriformes,AVIBASE-7CBD0D73,Anatidae,174,Anatidae,139,0.80,,
170,Anas_gibberifrons,Anatidae,Anseriformes,AVIBASE-EC92E98D,Anatidae,174,Anatidae,139,0.80,,
171,Anas_gracilis,Anatidae,Anseriformes,AVIBASE-9CBAFD8F,Anatidae,174,Anatidae,139,0.80,,
172,Anas_castanea,Anatidae,Anseriformes,AVIBASE-DBF66606,Anatidae,174,Anatidae,139,0.80,,
173,Anas_capensis,Anatidae,Anseriformes,AVIBASE-25DA0F41,Anatidae,174,Anatidae,139,0.80,,
174,Anas_sparsa,Anatidae,Anseriformes,AVIBASE-1EAFAD9F,Anatidae,174,Anatidae,139,0.80,,
175,Anas_undulata,Anatidae,Anseriformes,AVIBASE-7F64AD87,Anatidae,174,Anatidae,139,0.80,,
176,Anas_melleri,Anatidae,Anseriformes,AVIBASE-9BA03AF9,Anatidae,174,Anatidae,139,0.80,,
177,Anas_laysanensis,Anatidae,Anseriformes,AVIBASE-3F444E5A,Anatidae,174,Anatidae,139,0.80,,
178,Anas_luzonica,Anatidae,Anseriformes,AVIBASE-9AA3E5C2,Anatidae,174,Anatidae,139,0.80,,
179,Anas_poecilorhyncha,Anatidae,Anseriformes,AVIBASE-759C5EB8,Anatidae,174,Anatidae,139,0.80,,
180,Anas_zonorhyncha,Anatidae,Anseriformes,AVIBASE-E21470F9,Anatidae,174,Anatidae,139,0.80,,
181,Anas_fulvigula,Anatidae,Anseriformes,AVIBASE-697B933E,Anatidae,174,Anatidae,139,0.80,,
182,Anas_diazi,Anatidae,Anseriformes,AVIBASE-42CF45FE,Anatidae,174,Anatidae,139,0.80,,
183,Anas_rubripes,Anatidae,Anseriformes,AVIBASE-C732CB10,Anatidae,174,Anatidae,139,0.80,,
184,Anas_wyvilliana,Anatidae,Anseriformes,AVIBASE-250EA983,Anatidae,174,Anatidae,139,0.80,,
185,Talegalla_jobiensis,Megapodiidae,Galliformes,AVIBASE-DF603601,Megapodiidae,21,Megapodiidae,19,0.90,,
186,Talegalla_fuscirostris,Megapodiidae,Galliformes,AVIBASE-49888E04,Megapodiidae,21,Megapodiidae,19,0.90,,
187,Leipoa_ocellata,Megapodiidae,Galliformes,AVIBASE-BE7FA465,Megapodiidae,21,Megapodiidae,19,0.90,,
188,Alectura_lathami,Megapodiidae,Galliformes,AVIBASE-6BD20F58,Megapodiidae,21,Megapodiidae,19,0.90,,
189,Aepypodius_arfakianus,Megapodiidae,Galliformes,AVIBASE-06637487,Megapodiidae,21,Megapodiidae,19,0.90,,
190,Aepypodius_bruijnii,Megapodiidae,Galliformes,AVIBASE-638C9A70,Megapodiidae,21,Megapodiidae,19,0.90,,
191,Macrocephalon_maleo,Megapodiidae,Galliformes,AVIBASE-7B3B8F2F,Megapodiidae,21,Megapodiidae,19,0.90,,
192,Eulipoa_wallacei,Megapodiidae,Galliformes,AVIBASE-9CE98D28,Megapodiidae,21,Megapodiidae,19,0.90,,
193,Megapodius_cumingii,Megapodiidae,Galliformes,AVIBASE-A3FF8DCA,Megapodiidae,21,Megapodiidae,19,0.90,,
194,Megapodius_tenimberensis,Megapodiidae,Galliformes,AVIBASE-8A966B18,Megapodiidae,21,Megapodiidae,19,0.90,,
195,Megapodius_pritchardii,Megapodiidae,Galliformes,AVIBASE-69BBDE32,Megapodiidae,21,Megapodiidae,19,0.90,,
196,Megapodius_layardi,Megapodiidae,Galliformes,AVIBASE-45EEB735,Megapodiidae,21,Megapodiidae,19,0.90,,
197,Megapodius_laperouse,Megapodiidae,Galliformes,AVIBASE-E19BE428,Megapodiidae,21,Megapodiidae,19,0.90,,
198,Megapodius_eremita,Megapodiidae,Galliformes,AVIBASE-5795BC17,Megapodiidae,21,Megapodiidae,19,0.90,,
199,Megapodius_reinwardt,Megapodiidae,Galliformes,AVIBASE-73651931,Megapodiidae,21,Megapodiidae,19,0.90,,
200,Megapodius_bernsteinii,Megapodiidae,Galliformes,AVIBASE-034D904B,Megapodiidae,21,Megapodiidae,19,0.90,,
201,Megapodius_geelvinkianus,Megapodiidae,Galliformes,AVIBASE-8252F53B,Megapodiidae,21,Megapodiidae,19,0.90,,
202,Megapodius_freycinet,Megapodiidae,Galliformes,AVIBASE-25B64C4F,Megapodiidae,21,Megapodiidae,19,0.90,,
203,Megapodius_decollatus,Megapodiidae,Galliformes,AVIBASE-FAE8B00D,Megapodiidae,21,Megapodiidae,19,0.90,,
204,Penelopina_nigra,Cracidae,Galliformes,AVIBASE-E627D25F,Cracidae,57,Cracidae,47,0.82,,
205,Chamaepetes_unicolor,Cracidae,Galliformes,AVIBASE-8C688594,Cracidae,57,Cracidae,47,0.82,,
206,Chamaepetes_goudotii,Cracidae,Galliformes,AVIBASE-B019CEB9,Cracidae,57,Cracidae,47,0.82,,
207,Aburria_aburri,Cracidae,Galliformes,AVIBASE-50A42775,Cracidae,57,Cracidae,47,0.82,,
208,Pipile_jacutinga,Cracidae,Galliformes,AVIBASE-DA1A931A,Cracidae,57,Cracidae,47,0.82,,
209,Pipile_cujubi,Cracidae,Galliformes,AVIBASE-B261EA96,Cracidae,57,Cracidae,47,0.82,,
210,Pipile_pipile,Cracidae,Galliformes,AVIBASE-9D2FC800,Cracidae,57,Cracidae,47,0.82,,
211,Pipile_cumanensis,Cracidae,Galliformes,AVIBASE-A936BA7F,Cracidae,57,Cracidae,47,0.82,,
212,Penelope_purpurascens,Cracidae,Galliformes,AVIBASE-01A38979,Cracidae,57,Cracidae,47,0.82,,
213,Penelope_barbata,Cracidae,Galliformes,AVIBASE-89605A18,Cracidae,57,Cracidae,47,0.82,,
214,Penelope_obscura,Cracidae,Galliformes,AVIBASE-BF379105,Cracidae,57,Cracidae,47,0.82,,
215,Penelope_jacucaca,Cracidae,Galliformes,AVIBASE-7DDADC44,Cracidae,57,Cracidae,47,0.82,,
216,Penelope_pileata,Cracidae,Galliformes,AVIBASE-474C532A,Cracidae,57,Cracidae,47,0.82,,
217,Penelope_ochrogaster,Cracidae,Galliformes,AVIBASE-1CE8F9FE,Cracidae,57,Cracidae,47,0.82,,
